Document ID,cluster_id,stakeholder_type,NIST AI RMF,NIST AI 100-1,NIST SP 800-*,EU AI Act,EO 14110,EO 14141,OMB M-*,ISO/IEC 42001,ISO/IEC 23894,MITRE ATLAS,OWASP,C2PA
NIST-2025-0035-0235,228,EnterpriseSoftwareOrSecurityVendor,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0236,229,EnterpriseSoftwareOrSecurityVendor,1,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0025,23,Individual,1,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0237,230,Other,1,1,1,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0238,231,EnterpriseSoftwareOrSecurityVendor,1,1,1,1,0,0,0,1,0,0,1,0
NIST-2025-0035-0239,232,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0240,233,LawFirmOrConsultancy,1,0,1,0,0,0,0,0,0,1,1,0
NIST-2025-0035-0241,234,EnterpriseSoftwareOrSecurityVendor,1,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0242,235,Other,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0243,236,Individual,0,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0244,237,Other,1,0,0,1,0,0,0,1,0,0,1,0
NIST-2025-0035-0245,238,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0246,239,LargeTechCompany,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0026,24,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0247,240,Individual,1,1,1,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0248,241,Other,1,1,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0249,242,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0250,243,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0251,244,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0252,245,Individual,1,1,1,1,0,0,0,0,0,0,0,0
NIST-2025-0035-0254,246,Other,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0255,247,Other,1,0,1,1,0,0,0,0,0,0,0,0
NIST-2025-0035-0256,248,Individual,1,0,0,0,0,0,0,1,0,0,0,0
NIST-2025-0035-0257,249,Individual,1,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0027,25,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0258,250,Other,1,1,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0259,251,Individual,1,0,0,1,0,0,0,1,0,0,1,0
NIST-2025-0035-0260,252,EnterpriseSoftwareOrSecurityVendor,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0261,253,AIStartup,0,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0262,254,Individual,0,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0263,255,Individual,1,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0264,256,AIStartup,1,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0266,257,EnterpriseSoftwareOrSecurityVendor,1,0,0,1,0,0,0,0,0,1,1,0
NIST-2025-0035-0267,258,Individual,1,0,0,0,0,0,0,0,0,0,0,0
